company_name,nif
"RICO – Tomás Castro Silva, Lda",500626960
SAE – Sistemas de Automação e de Energia Lda.,505213850
"SAFA – Construções ElectroMecânicas, Lda.",503117900
"Saint Gobain Abrasivos, Lda.",Not found
"SB Molde – Comércio de Moldes, Lda.",Not found
"SCANSCI – Equipamentos Laboratório, Lda",509014208
"SCH – Sociedade de Comércio de Soldadura Helvética, Lda.",504994204
"SEL – Soluções Electro Mecânicas, Lda",510241310
"Siebec, Lda",515943320
"Silvino Lindo Iberica, Lda",502342242
"Sistpul, Lda.",505692171
"Soponor – Soluções Logisticas, Lda",514795166
Sotecnor Unipessoal Lda,514713100
"Sovende, Lda",501715983
SprayControl Lda,516808060
"StatusAlumínio, Lda",507755561
"STV – Equipamentos para a Industria e Laboratorios, Lda.",Not found
"Sucorema, Lda",501744991
"TDF Portugal – Técnica de Fluidos, Lda.",505133938
"Tecnimpor, Lda",508825032
"Tectoma, Lda",506685373
"TM2A Norte, Soluções e Componentes Industriais, Lda.",517959402
"TotalEnergies Marketing Portugal, Unipessoal Lda",514145056
"Trodman – Consumiveis de Manutenção, Lda",505477416
"TWW – Tranemo Workwear, Lda",514130849
"Tyrolit, Lda.",502990449
"Ultraprecisão, Lda",504805940
